,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
74,5.0,10.0,100.0,30.0,30.0,exponential,0.99,35.29106165902915
75,5.0,50.0,100.0,30.0,30.0,exponential,0.99,28.803738316400402
76,5.0,100.0,100.0,30.0,30.0,exponential,0.99,28.776468303339428
77,5.0,10.0,100.0,30.0,30.0,exponential,0.99,35.133627913996065
78,5.0,50.0,100.0,30.0,30.0,exponential,0.99,28.776468303339428
79,5.0,100.0,100.0,30.0,30.0,exponential,0.99,33.82923944023834
80,5.0,10.0,100.0,30.0,30.0,exponential,0.99,39.06756416806542
81,5.0,50.0,100.0,30.0,30.0,exponential,0.99,37.90369889352151
82,5.0,100.0,20.0,30.0,30.0,,0.99,39.71643068936415
83,5.0,10.0,20.0,30.0,30.0,,0.99,45.10957522775583
84,5.0,50.0,20.0,30.0,30.0,,0.99,45.10957522775583
85,5.0,100.0,20.0,30.0,30.0,,0.99,31.977624426788545
86,5.0,10.0,20.0,30.0,30.0,,0.99,35.981634573710814
87,5.0,50.0,20.0,30.0,30.0,,0.99,35.981634573710814
88,5.0,100.0,20.0,30.0,30.0,,0.99,38.96450972953262
89,5.0,10.0,20.0,30.0,30.0,,0.99,53.79891807405181
90,5.0,50.0,20.0,30.0,30.0,,0.99,38.96450972953262
91,5.0,100.0,50.0,30.0,30.0,,0.99,31.44956101260678
92,5.0,10.0,50.0,30.0,30.0,,0.99,39.4489042964722
93,5.0,50.0,50.0,30.0,30.0,,0.99,37.33329764605314
94,5.0,100.0,50.0,30.0,30.0,,0.99,24.680312110681605
95,5.0,10.0,50.0,30.0,30.0,,0.99,39.508359904748986
96,5.0,50.0,50.0,30.0,30.0,,0.99,35.07562156510861
97,5.0,100.0,50.0,30.0,30.0,,0.99,15.77123832880347
98,5.0,10.0,50.0,30.0,30.0,,0.99,29.70829996466142
99,5.0,50.0,50.0,30.0,30.0,,0.99,29.70829996466142
100,5.0,100.0,100.0,30.0,30.0,,0.99,20.255208145754587
101,5.0,10.0,100.0,30.0,30.0,,0.99,23.376170167438865
