,ndims,niter,popsize,alpha_max,beta_max,angle_adjuster,coef,y
1,1.0,100.0,20.0,30.0,30.0,linear,0.99,0.9974099028732901
2,1.0,10.0,20.0,30.0,30.0,linear,0.99,0.9974099028732901
3,1.0,50.0,20.0,30.0,30.0,linear,0.99,0.9974099028732901
4,1.0,100.0,20.0,30.0,30.0,linear,0.99,0.9950934846700843
5,1.0,10.0,20.0,30.0,30.0,linear,0.99,1.4099744016722386
6,1.0,50.0,20.0,30.0,30.0,linear,0.99,0.9950934846700843
7,1.0,100.0,20.0,30.0,30.0,linear,0.99,0.9953247524861109
8,1.0,10.0,20.0,30.0,30.0,linear,0.99,1.6451925836073436
9,1.0,50.0,20.0,30.0,30.0,linear,0.99,0.9953247524861109
10,1.0,100.0,50.0,30.0,30.0,linear,0.99,0.002365286541030187
11,1.0,10.0,50.0,30.0,30.0,linear,0.99,0.0025266157305718906
12,1.0,50.0,50.0,30.0,30.0,linear,0.99,0.002365286541030187
13,1.0,100.0,50.0,30.0,30.0,linear,0.99,0.9965308037679268
14,1.0,10.0,50.0,30.0,30.0,linear,0.99,0.9986637110664276
15,1.0,50.0,50.0,30.0,30.0,linear,0.99,0.9965308037679268
16,1.0,100.0,50.0,30.0,30.0,linear,0.99,0.9995004702269004
17,1.0,10.0,50.0,30.0,30.0,linear,0.99,1.103919863119362
18,1.0,50.0,50.0,30.0,30.0,linear,0.99,0.9995004702269004
19,1.0,100.0,100.0,30.0,30.0,linear,0.99,0.9949611229015396
20,1.0,10.0,100.0,30.0,30.0,linear,0.99,0.9963979803764449
21,1.0,50.0,100.0,30.0,30.0,linear,0.99,0.9949611229015396
22,1.0,100.0,100.0,30.0,30.0,linear,0.99,0.9949606909799513
23,1.0,10.0,100.0,30.0,30.0,linear,0.99,1.013334972402257
24,1.0,50.0,100.0,30.0,30.0,linear,0.99,0.9949606909799513
25,1.0,100.0,100.0,30.0,30.0,linear,0.99,0.14518356804433807
26,1.0,10.0,100.0,30.0,30.0,linear,0.99,0.14830212505532714
27,1.0,50.0,100.0,30.0,30.0,linear,0.99,0.14518356804433807
